time,volumeto,txCount,marketcap(USD),close,exchangeVolume(USD),reward
7/03/2015,58153.96224,8,251600,1,58197,0
8/03/2015,17.33126796,2,251600,1,31,0
9/03/2015,15.42279432,5,251600,1,143,0
10/03/2015,49939.93691,23,251600,1,49997,0
11/03/2015,4.04,5,251600,1,49,0
12/03/2015,80423.86284,14,251600,1,80418,0
13/03/2015,550.9835391,8,251600,1,75,0
14/03/2015,34209.76905,16,251600,1,17705,0
15/03/2015,15410.04,11,251600,1,15125,0
16/03/2015,136.9193664,4,251600,1,49632,0
17/03/2015,48.94365316,5,251600,1,4284,0
18/03/2015,40.39855394,7,251600,1,202,0
19/03/2015,5.40496237,4,251600,1,714,0
20/03/2015,0,0,251600,1,133,0
21/03/2015,0,0,251600,1,206,0
22/03/2015,0,0,251600,1,67,0
23/03/2015,15.3562564,5,251600,1,66,0
24/03/2015,1037.738517,28,251600,1,1179,0
25/03/2015,42.911,2,251600,1,92,0
26/03/2015,11.09767372,4,251600,1,2,0
27/03/2015,6.11,2,251600,1,5,0
28/03/2015,38.08825639,10,251600,1,17,0
29/03/2015,22.11131667,8,251600,1,21,0
30/03/2015,471.9810494,5,251600,1,495,0
31/03/2015,2.14,5,251600,1,37,0
1/04/2015,12850,2,251600,1,14,0
2/04/2015,7.78617304,9,251600,1,79970,0
3/04/2015,20484.80231,16,251600,1,8887,0
4/04/2015,194.1,3,251600,1,2018,0
5/04/2015,750,1,251600,1,2887,0
6/04/2015,504.33,7,251600,1,254,0
7/04/2015,0.00201,3,251600,1,19179,0
8/04/2015,922.6709654,8,251600,1,1024,0
9/04/2015,80.03807513,14,251600,1,100949,0
10/04/2015,4.311,6,251600,1,470,0
11/04/2015,2.62349022,3,251600,1,2869,0
12/04/2015,1.01,1,251600,1,1971,0
13/04/2015,13.77549731,11,251600,1,46026,0
14/04/2015,48.36146355,19,251600,1,50324,0
15/04/2015,1313.146886,15,251600,1,40700,0
16/04/2015,1357.164298,41,251600,1,46909,0
17/04/2015,87.11450781,24,251600,1,50,0
18/04/2015,6.3,10,251600,1,49,0
19/04/2015,18.2236608,82,251600,1,22,0
20/04/2015,73.05369017,16,251600,1,38,0
21/04/2015,21.66978593,7,251600,1,85933,0
22/04/2015,12189.20202,11,251600,1,40306,0
23/04/2015,1563.472096,8,251600,1,21632,0
24/04/2015,12185.07788,16,251600,1,20262,0
25/04/2015,256.01,7,251600,1,26,0
26/04/2015,0,0,251600,1,555,0
27/04/2015,20343.65012,22,251600,1,17806,0
28/04/2015,25413.34542,22,251600,1,42628,0
29/04/2015,32.98885957,9,251600,1,12,0
30/04/2015,235.4963478,10,251600,1,613,0
1/05/2015,2.971476,2,251600,1,48,0
2/05/2015,1,1,251600,1,4,0
3/05/2015,1425.071153,5,251600,1,1518,0
4/05/2015,11.15806422,7,251600,1,83171,0
5/05/2015,54.09873936,5,251600,1,21,0
6/05/2015,12.47787934,7,251600,1,10,0
7/05/2015,121.345414,4,251600,1,120,0
8/05/2015,1287.897318,9,251600,1,546,0
9/05/2015,124.0809992,11,251600,1,171,0
10/05/2015,4934.047343,15,251600,1,2466,0
11/05/2015,1115.8,8,251600,1,584,0
12/05/2015,2,4,251600,1,5,0
13/05/2015,1689.106638,11,251600,1,0,0
14/05/2015,4827.240055,16,251600,1,2185,0
15/05/2015,122.596697,13,251600,1,92,0
16/05/2015,179.6,2,251600,1,297,0
17/05/2015,632.6973497,11,251600,1,683,0
18/05/2015,215175.0827,9,451600,1,31,200000
19/05/2015,33698.95955,49,451600,1,25359,0
20/05/2015,655.3612324,15,451600,1,21979,0
21/05/2015,47934.07475,24,451600,1,53849,0
22/05/2015,1614.055004,4,451600,1,20209,0
23/05/2015,547202.8544,14,451600,1,30,0
24/05/2015,5349.046896,9,451600,1,5382,0
25/05/2015,413215.0141,23,451600,1,2846,0
26/05/2015,2944.711809,15,451600,1,1244,0
27/05/2015,125053.0402,4,451600,1,28002,0
28/05/2015,25793.06343,29,451600,1,70612,0
29/05/2015,50207.37621,27,451600,1,16640,0
30/05/2015,21722.80252,40,451600,1,12448,0
31/05/2015,2740.056096,19,451600,1,2522,0
1/06/2015,7651.381603,16,451600,1,40887,0
2/06/2015,27109.66829,47,451600,1,75456,0
3/06/2015,16328.27139,8,451600,1,24994,0
4/06/2015,3116.971284,15,451600,1,152,0
5/06/2015,8.99112683,5,451600,1,22,0
6/06/2015,0,0,451600,1,30,0
7/06/2015,1894.341547,15,451600,1,1547,0
8/06/2015,1241.532677,6,451600,1,126,0
9/06/2015,1393.573349,7,451600,1,323,0
10/06/2015,66849.68264,16,451600,1,45551,0
11/06/2015,158.0281563,5,451600,1,50162,0
12/06/2015,12052.33987,7,451600,1,41981,0
13/06/2015,1576.939923,3,451600,1,1636,0
14/06/2015,1342.966633,7,451600,1,1349,0
15/06/2015,19675.82342,14,451600,1,262077,0
16/06/2015,25482.86,24,451600,1,204282,0
17/06/2015,10826.4666,23,451600,1,7822,0
18/06/2015,3150.083848,17,451600,1,33804,0
19/06/2015,7145.253565,19,451600,1,10983,0
20/06/2015,2060,5,451600,1,2424,0
21/06/2015,170.566489,3,451600,1,371,0
22/06/2015,123.1650886,1,451600,1,404,0
23/06/2015,44.06,10,451600,1,19973,0
24/06/2015,501252.1323,27,451600,1,633456,0
25/06/2015,61155,27,451600,1,63845,0
26/06/2015,4462.467478,22,451600,1,3129,0
27/06/2015,52.60057692,7,451600,1,668536,0
28/06/2015,351.0403396,4,451600,1,409,0
29/06/2015,410.3826103,7,451600,1,3121,0
30/06/2015,1827.399961,12,451600,1,472575,0
1/07/2015,41483.20851,19,451600,1,110325,0
2/07/2015,5150.630421,13,451600,1,1436,0
3/07/2015,5009.815752,2,451600,1,14061,0
4/07/2015,74.87668128,15,451600,1,100,0
5/07/2015,7239.976247,14,451600,1,8107,0
6/07/2015,2456.581757,10,451600,1,652389,0
7/07/2015,12750.00294,7,451600,1,34946,0
8/07/2015,7677.470957,13,451600,1,1633,0
9/07/2015,5807.52,12,451600,1,516,0
10/07/2015,21.26404214,13,451600,1,1065,0
11/07/2015,2093.75933,9,451600,1,1622,0
12/07/2015,505,2,451600,1,3187,0
13/07/2015,4548.088021,12,451600,1,242557,0
14/07/2015,64228.31217,30,451600,1,31442,0
15/07/2015,1624.500383,5,451600,1,1132,0
16/07/2015,89819.38245,25,451600,1,33532,0
17/07/2015,61993.90094,32,451600,1,665897,0
18/07/2015,5008.033898,11,451600,1,50532,0
19/07/2015,2200,2,451600,1,2709,0
20/07/2015,178.7536874,7,451600,1,659,0
21/07/2015,6689.305111,6,451600,1,5796,0
22/07/2015,582.7130853,11,451600,1,507,0
23/07/2015,14842.5,10,451600,1,4234,0
24/07/2015,38882.24681,29,451600,1,32140,0
25/07/2015,296.5926073,9,451600,1,521,0
26/07/2015,296.7835018,9,451600,1,25,0
27/07/2015,12660.75021,27,451600,1,2251,0
28/07/2015,3342.074058,14,451600,1,50303,0
29/07/2015,402092.5168,9,451600,1,404935,0
30/07/2015,624.49,3,451600,1,28285,0
31/07/2015,8212.13,2,451600,1,110,0
1/08/2015,220.2,3,451600,1,1766,0
2/08/2015,4341.748821,7,451600,1,4443,0
3/08/2015,1467.406518,12,451600,1,258279,0
4/08/2015,3695,2,451600,1,4182,0
5/08/2015,12331.84595,18,451600,1,11013,0
6/08/2015,18246.51699,23,451600,1,15979,0
7/08/2015,280003.0509,19,451600,1,189055,0
8/08/2015,129.5799953,7,451600,1,2229,0
9/08/2015,73300.24349,24,451600,1,657,0
10/08/2015,82941.84153,19,451600,1,152265,0
11/08/2015,16846.6258,21,451600,1,526,0
12/08/2015,6963.13703,25,451600,1,1602,0
13/08/2015,83.92,3,451600,1,1521,0
14/08/2015,4926.848023,14,451600,1,2346,0
15/08/2015,745.661963,18,451600,1,4232,0
16/08/2015,383.435651,18,451600,1,1644,0
17/08/2015,43131.99243,15,451600,1,20942,0
18/08/2015,36109.82722,38,451600,1,65246,0
19/08/2015,242771.8522,77,451600,1,157207,0
20/08/2015,4916.431763,13,451600,1,2841,0
21/08/2015,4900.500119,7,451600,1,5957,0
22/08/2015,100.6600861,5,451600,1,1296,0
23/08/2015,34.4532417,5,451600,1,2275,0
24/08/2015,1584.195604,6,451600,1,73637,0
25/08/2015,417127.86,30,451600,1,433444,0
26/08/2015,129150.5362,7,451600,1,1643,0
27/08/2015,1639.148861,5,451600,1,2446,0
28/08/2015,6739.107631,14,451600,1,6213,0
29/08/2015,2193.738403,11,451600,1,1207,0
30/08/2015,470.3678304,40,451600,1,3319,0
31/08/2015,9924.714681,47,451600,1,7022,0
1/09/2015,4283.100292,16,451600,1,6136,0
2/09/2015,518.4110877,22,451600,1,1710,0
3/09/2015,696.374092,26,451600,1,890,0
4/09/2015,170.4224964,17,451600,1,672,0
5/09/2015,14015.12055,51,451600,1,13467,0
6/09/2015,23227.94516,35,451600,1,17951,0
7/09/2015,19324.15243,29,451600,1,22316,0
8/09/2015,3063.073467,24,451600,1,2963,0
9/09/2015,100827.5379,632,451600,1,106307,0
10/09/2015,10001.02113,209,451600,1,9265,0
11/09/2015,53204.04593,18,451600,1,29213,0
12/09/2015,6718,9,451600,1,4331,0
13/09/2015,118.8643733,6,451600,1,696,0
14/09/2015,16374.14681,63,451600,1,228,0
15/09/2015,71785.54698,32,451600,1,71982,0
16/09/2015,130657.478,27,451600,1,52821,0
17/09/2015,77955.41063,29,451600,1,28268,0
18/09/2015,23159.62181,19,451600,1,15624,0
19/09/2015,1052.104491,7,451600,1,821,0
20/09/2015,39,2,451600,1,112,0
21/09/2015,10061.97555,13,451600,1,9470,0
22/09/2015,21791.63458,39,451600,1,19998,0
23/09/2015,1011.811815,33,451600,1,5751,0
24/09/2015,102264.1233,19,451600,1,103489,0
25/09/2015,216.4042847,31,451600,1,608,0
26/09/2015,3758.855746,7,451600,1,528,0
27/09/2015,0.05626672,4,451600,1,1998,0
28/09/2015,406418.81,18,451600,1,394927,0
29/09/2015,413900.4813,36,451600,1,419071,0
30/09/2015,143549.778,21,451600,1,142982,0
1/10/2015,179093.847,10,451600,1,178994,0
2/10/2015,13070.76148,12,451600,1,14619,0
3/10/2015,369769.3145,18,451600,1,368077,0
4/10/2015,70572.6357,10,451600,1,3459,0
5/10/2015,19430.57844,18,451600,1,17654,0
6/10/2015,52627.25678,36,451600,1,55914,0
7/10/2015,9019.851828,31,451600,1,8055,0
8/10/2015,2744.746482,43,451600,1,5197,0
9/10/2015,57565.82766,18,451600,1,1830,0
10/10/2015,128339.37,10,451600,1,117,0
11/10/2015,23476.93344,7,451600,1,47946,0
12/10/2015,57078.5846,77,451600,1,25978,0
13/10/2015,137401.9716,45,451600,1,122426,0
14/10/2015,10672.82408,20,451600,1,10378,0
15/10/2015,105036.3313,86,451600,1,98815,0
16/10/2015,49129.23571,46,451600,1,37796,0
17/10/2015,4255.827796,25,451600,1,3697,0
18/10/2015,4454.459232,31,451600,1,3108,0
19/10/2015,3949.4,8,451600,1,6589,0
20/10/2015,40811.17825,37,451600,1,30335,0
21/10/2015,22586.99746,24,451600,1,42472,0
22/10/2015,136362.2675,41,451600,1,76061,0
23/10/2015,181614.0835,44,451600,1,115132,0
24/10/2015,106246.7321,44,451600,1,73679,0
25/10/2015,162936.6914,51,451600,1,191596,0
26/10/2015,38583.88396,37,451600,1,40692,0
27/10/2015,57661.63074,75,451600,1,51400,0
28/10/2015,67468.0068,68,451600,1,64488,0
29/10/2015,223216.3435,67,451600,1,227491,0
30/10/2015,230282.4113,86,451600,1,26909,0
31/10/2015,35748.82022,76,451600,1,26367,0
1/11/2015,7350.793416,47,451600,1,4506,0
2/11/2015,291428.7191,131,451600,1,15845,0
3/11/2015,47861.78898,177,451600,1,90103,0
4/11/2015,158757.6607,193,451600,1,181021,0
5/11/2015,236831.9278,153,451600,1,226537,0
6/11/2015,363002.0887,139,451600,1,372540,0
7/11/2015,665849.3742,98,451600,1,999501,0
8/11/2015,12467.16707,49,451600,1,143097,0
9/11/2015,40012.39089,81,451600,1,18568,0
10/11/2015,567875.4743,28,451600,1,14722,0
11/11/2015,1752963.118,37,451600,1,34324,0
12/11/2015,38528.21658,44,451600,1,34994,0
13/11/2015,65183.84712,51,451600,1,49617,0
14/11/2015,30865.51786,29,451600,1,28995,0
15/11/2015,7264.642568,20,451600,1,33393,0
16/11/2015,9159.695388,9,451600,1,10553,0
17/11/2015,18573.77208,10,451600,1,25693,0
18/11/2015,2088.068566,22,451600,1,6058,0
19/11/2015,15836.01918,40,451600,1,18891,0
20/11/2015,19628.35224,38,451600,1,10003,0
21/11/2015,3899.69592,15,451600,1,6456,0
22/11/2015,2802.774859,21,451600,1,5443,0
23/11/2015,29363.58199,11,451600,1,25499,0
24/11/2015,6900.897529,13,451600,1,11121,0
25/11/2015,1493.13,15,451600,1,6875,0
26/11/2015,11735.58132,54,451600,1,20800,0
27/11/2015,12620.58257,40,451600,1,8253,0
28/11/2015,16187.69603,18,451600,1,22508,0
29/11/2015,105847.12,7,451600,1,134696,0
30/11/2015,413740.7539,33,451600,1,659724,0
1/12/2015,572995.9242,33,951599.6612,1,129772,500000
2/12/2015,250237.9727,34,951594.2904,0.999994,195747,0
3/12/2015,267947.7,26,951600,1,141337,0
4/12/2015,6171.631077,15,951600,1,7738,0
5/12/2015,4554.803144,11,951600,1,21568,0
6/12/2015,217621.4454,71,951600,1,220143,0
7/12/2015,4296.990525,45,951600,1,11224,0
8/12/2015,640807.3128,53,951752,1,9504,0
9/12/2015,1024343.03,105,951676,1,17421,0
10/12/2015,21350.503,41,951600,1,23195,0
11/12/2015,146317.7851,40,951600,1,102209,0
12/12/2015,23657.56254,80,951600,1,39261,0
13/12/2015,13154.38685,58,951600,1,13796,0
14/12/2015,4475.173653,68,951600,1,8173,0
15/12/2015,1110783.779,78,951600,1,22210,0
16/12/2015,212630.8454,82,951600,1,143155,0
17/12/2015,1512069.199,32,951600,1,2226,0
18/12/2015,1382267.783,71,951600,1,6493,0
19/12/2015,14582.6601,62,951600,1,23202,0
20/12/2015,3814.776537,26,951600,1,16100,0
21/12/2015,8974.341404,29,951600.4177,1,18913,0
22/12/2015,1533946.371,35,951470.9508,0.999864,10915,0
23/12/2015,527216.1054,35,951414.438,0.999805,66711,0
24/12/2015,164329.6266,47,951600,1,91078,0
25/12/2015,618007.9469,45,951600,1,618112,0
26/12/2015,7732.432292,19,951600,1,15305,0
27/12/2015,25348.55313,21,951600,1,26317,0
28/12/2015,158066.1156,23,951600,1,82323,0
29/12/2015,18856.08921,65,951600,1,14115,0
30/12/2015,257798.6614,25,951600,1,7389,0
31/12/2015,7469.653791,24,951600,1,6995,0
1/01/2016,4095.227022,28,951600,1,4876,0
2/01/2016,2075.799603,92,951600,1,4701,0
3/01/2016,410.9043558,497,951600,1,1389,0
4/01/2016,163693.158,1564,951600,1,81182,0
5/01/2016,1581.941165,52,951838,1,1350,0
6/01/2016,1061117.811,28,1451600,1,541019,500000
7/01/2016,856329.2654,73,1451600,1,25544,0
8/01/2016,20355.39869,44,1451600,1,13420,0
9/01/2016,2168.811269,18,1451600,1,3359,0
10/01/2016,66943.95556,33,1451600,1,66196,0
11/01/2016,315639.7437,34,1451600,1,118900,0
12/01/2016,2051.220637,28,1451600,1,11714,0
13/01/2016,364136.3686,25,1452253,1,9873,0
14/01/2016,22990.62366,26,1451600,1,20292,0
15/01/2016,172739.0645,26,1451600,1,95995,0
16/01/2016,65751.76907,43,1452195,1,74254,0
17/01/2016,5258.524259,26,1451600,1,17361,0
18/01/2016,141385.0935,71,1451600,1,160834,0
19/01/2016,2733444.034,36,1451600,1,9857,0
20/01/2016,1282746.69,39,1451600,1,17069,0
21/01/2016,29388.95847,50,1451600,1,35772,0
22/01/2016,968254.1918,39,1451702,1,26682,0
23/01/2016,14178.87016,32,1451818,1,28438,0
24/01/2016,8726.170155,20,1451615,1,21139,0
25/01/2016,17008.029,42,1451615,1,44570,0
26/01/2016,82640.20272,18,1451600,1,69162,0
27/01/2016,19464.10959,48,1451600,1,37598,0
28/01/2016,303640.1264,52,1451600.452,1,155498,0
29/01/2016,81974.54152,39,1451598.484,0.999999,73399,0
30/01/2016,5160.749162,10,1451568.065,0.999978,6307,0
31/01/2016,3133.771265,16,1451600.452,1,10385,0
1/02/2016,59413.45885,30,1451598.548,0.999999,76317,0
2/02/2016,705968.7928,22,1451555,0.999969,7113,0
3/02/2016,208393.9999,58,1451600,1,104733,0
4/02/2016,210878.9791,53,1451600,1,150392,0
5/02/2016,225801.9859,31,1451600,1,97341,0
6/02/2016,709855.8777,32,1451600,1,715070,0
7/02/2016,13340.8765,29,1451600,1,27176,0
8/02/2016,37698.91429,30,1451600,1,36002,0
9/02/2016,11668.43192,21,1451600,1,36351,0
10/02/2016,55584.98677,63,1451600,1,125936,0
11/02/2016,32186.11774,50,1451600,1,65354,0
12/02/2016,301608.7533,110,1451600,1,407856,0
13/02/2016,27296.7948,67,1451600,1,98085,0
14/02/2016,25414.51663,62,1452892,1,52365,0
15/02/2016,56517.2136,73,1451615,1,95454,0
16/02/2016,18102.78752,30,1451615,1,58641,0
17/02/2016,268097.0936,99,1451600,1,169298,0
18/02/2016,47982.92002,60,1451600,1,71827,0
19/02/2016,26786.58992,40,1451600,1,50866,0
20/02/2016,30640.87076,61,1451600,1,57051,0
21/02/2016,28478.71279,93,1451600,1,55018,0
22/02/2016,19443.5455,55,1451600,1,46520,0
23/02/2016,32252.3437,56,1451600,1,107259,0
24/02/2016,29778.2209,66,1451600.45,1,85160,0
25/02/2016,496945.2346,195,1451373.55,0.999844,433922,0
26/02/2016,111925.4674,82,1451600,1,102891,0
27/02/2016,73924.8566,61,1451600,1,96721,0
28/02/2016,45114.49877,57,1451600,1,114084,0
29/02/2016,68167.57044,49,1451629,1,77532,0
1/03/2016,336111.0741,70,1451600.064,1,143221,0
2/03/2016,36529.32898,65,1451587.096,0.999991,61533,0
3/03/2016,64503.24376,55,1451543.839,0.999961,179492,0
4/03/2016,29095.30106,76,1451598.548,0.999999,150575,0
5/03/2016,184693.0733,131,1451600,1,354905,0
6/03/2016,81931.04532,107,1451599.903,1,279531,0
7/03/2016,44788.47233,22,1451597,0.999998,143086,0
8/03/2016,57789.20395,22,1451597.097,0.999998,144215,0
9/03/2016,38036.0508,30,1451600.418,1,158280,0
10/03/2016,29260.98514,38,1451447.292,0.999895,126353,0
11/03/2016,39305.54045,32,1451591.548,0.999994,92528,0
12/03/2016,22670.33378,23,1451593.16,0.999995,253278,0
13/03/2016,20668.01138,46,1451449.065,0.999896,209067,0
14/03/2016,51931.27016,81,1451479.227,0.999917,369834,0
15/03/2016,40016.02454,61,1451591.29,0.999994,72352,0
16/03/2016,18876.6,29,1451600,1,74773,0
17/03/2016,70527.2251,54,1451599.677,1,219091,0
18/03/2016,66995.43851,41,1451571.226,0.999983,326978,0
19/03/2016,66359.7054,31,1451593,0.999998,119685,0
20/03/2016,16719.02274,20,1451588,0.999998,82858,0
21/03/2016,85980.68958,48,1451588.548,0.999998,188116,0
22/03/2016,44456.68268,39,1451590,0.999999,118249,0
23/03/2016,74476.04152,25,1451590,0.999999,82970,0
24/03/2016,32886.56726,40,1451589.193,0.999999,108214,0
25/03/2016,13641.056,18,1451551.807,0.999973,32068,0
26/03/2016,12678.8378,22,1451591,1,43612,0
27/03/2016,64869.20147,48,1451591,1,111330,0
28/03/2016,39133.25478,44,1451591,1,112757,0
29/03/2016,943172.2462,56,1451591,1,1042210,0
30/03/2016,79819.79733,38,1451591,1,204201,0
31/03/2016,128172.8744,49,1451591,1,147747,0
1/04/2016,122585.3824,45,1451591,1,50033,0
2/04/2016,124117.7107,23,1451591,1,103658,0
3/04/2016,51871.29913,80,1451591,1,99267,0
4/04/2016,532874.9962,98,1451591,1,486533,0
5/04/2016,59443.66205,26,1451591,1,115498,0
6/04/2016,56311.82377,50,1451620,1,82048,0
7/04/2016,6230.538298,17,1451620,1,44185,0
8/04/2016,353469.9787,25,1451591,1,441626,0
9/04/2016,24103.87834,63,1451591,1,117876,0
10/04/2016,4193.426479,29,1451591,1,173469,0
11/04/2016,10009.52717,38,1451590.771,1,38497,0
12/04/2016,342049.4497,49,1451367.455,0.999846,430502,0
13/04/2016,163286.8224,41,1451591,1,173569,0
14/04/2016,417958.4543,39,1451591,1,349208,0
15/04/2016,66130.98132,19,1451591,1,79197,0
16/04/2016,51439.37503,17,1451591,1,66411,0
17/04/2016,27361.37221,39,1451591,1,121920,0
18/04/2016,229555.5141,35,1451591,1,160979,0
19/04/2016,78315.25517,27,1451591,1,116370,0
20/04/2016,73474.15519,42,1451591,1,103226,0
21/04/2016,203689.9768,65,1451591,1,278840,0
22/04/2016,158854.6106,62,1451591,1,143608,0
23/04/2016,502151.8509,31,1451591,1,512936,0
24/04/2016,42019.07652,23,1451591,1,68016,0
25/04/2016,367369.1543,57,1451591,1,298864,0
26/04/2016,503331.0875,48,1451591,1,515109,0
27/04/2016,1012492.759,39,1451591,1,481952,0
28/04/2016,576895.7426,70,1951591,1,544476,500000
29/04/2016,187019.2771,51,1951591,1,146006,0
30/04/2016,534424.8873,81,1951591,1,454278,0
1/05/2016,20638.76152,33,1951591,1,49006,0
2/05/2016,92171.67392,52,1951591,1,193440,0
3/05/2016,422976.6683,27,1951591,1,408428,0
4/05/2016,300432.3856,24,1951591,1,215176,0
5/05/2016,1200700.369,33,1951591,1,753773,0
6/05/2016,2697793.765,47,1951591,1,2747610,0
7/05/2016,34305.71699,41,1951591,1,73083,0
8/05/2016,45545.17353,16,1951591,1,80059,0
9/05/2016,397959.2986,27,1951591,1,324466,0
10/05/2016,6493842.603,51,1951591,1,6102180,0
11/05/2016,231174.029,27,1951591,1,270254,0
12/05/2016,356506.9779,25,1951591,1,168513,0
13/05/2016,4384.477892,21,1957953,1,62149,0
14/05/2016,3074.732278,4,1958578,1,61320,0
15/05/2016,164492.739,26,1951591,1,219450,0
16/05/2016,1017157.869,16,1951591,1,567230,0
17/05/2016,136225.456,27,1951591,1,178706,0
18/05/2016,192796.064,71,1951591,1,229307,0
19/05/2016,251927.7157,56,1951591,1,329926,0
20/05/2016,210854.088,112,1951591,1,261677,0
21/05/2016,112925.9239,121,1951591,1,167338,0
22/05/2016,8204.120209,42,1951591,1,104196,0
23/05/2016,293813.8314,89,1951591,1,190548,0
24/05/2016,214697.9013,56,1951630,1,153609,0
25/05/2016,154644.1479,45,1951591,1,209870,0
26/05/2016,5704808.616,60,1951591,1,5707670,0
27/05/2016,509396.7247,164,1951591,1,707718,0
28/05/2016,317450.2687,292,1951591,1,613257,0
29/05/2016,1775536.407,292,1951591,1,705697,0
30/05/2016,606096.233,198,1951591,1,422532,0
31/05/2016,189224.6768,198,1951591,1,2580270,0
1/06/2016,1270324.174,256,2951591,1,1030660,1000000
2/06/2016,203375.4182,119,2951591,1,223416,0
3/06/2016,5068283.234,197,2951591,1,2459760,0
4/06/2016,110700.3883,73,2951591,1,438311,0
5/06/2016,237055.9273,52,2951591,1,139775,0
6/06/2016,725021.3642,98,2951591,1,792495,0
